title,url,category,muscle_group,difficulty,description
Supino Reto,https://www.youtube.com/watch?v=ZSLSanHSuf0,Peito,Peitoral,intermediate,Exercício básico para desenvolvimento do peitoral
Supino Inclinado,https://www.youtube.com/watch?v=SrqOu55lrYU,Peito,Peitoral Superior,intermediate,Foco no peitoral superior
Crucifixo,https://www.youtube.com/watch?v=eozdVDA78K0,Peito,Peitoral,beginner,Alongamento e isolamento do peitoral
Puxada Frontal,https://www.youtube.com/watch?v=CAwf7n6Luuc,Costas,Dorsal,intermediate,Exercício para largura do dorsal
Remada Curvada,https://www.youtube.com/watch?v=kBWAon7ItDw,Costas,Dorsal,intermediate,Espessura das costas
Agachamento Livre,https://www.youtube.com/watch?v=Zw8kGqE5pZv,Pernas,Quadríceps,advanced,Rei dos exercícios para pernas
Leg Press,https://www.youtube.com/watch?v=d1W2YnVMtJs,Pernas,Quadríceps,intermediate,Exercício para quadríceps e glúteos
Cadeira Extensora,https://www.youtube.com/watch?v=YyvSfVjQeL0,Pernas,Quadríceps,beginner,Isolamento de quadríceps
Stiff,https://www.youtube.com/watch?v=1uDiW5--rAE,Pernas,Posterior,intermediate,Posterior de coxa e glúteos
Desenvolvimento,https://www.youtube.com/watch?v=qEwKCR5JCog,Ombros,Deltoides,intermediate,Ombros completos
Elevação Lateral,https://www.youtube.com/watch?v=3VcKaXpzqRo,Ombros,Deltoides,beginner,Deltoides lateral
Rosca Direta,https://www.youtube.com/watch?v=ykJmrZ5v0Oo,Braços,Bíceps,beginner,Bíceps básico com barra
Rosca Martelo,https://www.youtube.com/watch?v=zC3nLlEvin4,Braços,Bíceps,beginner,Bíceps e antebraço
Tríceps Corda,https://www.youtube.com/watch?v=2-LAMcpzODU,Braços,Tríceps,beginner,Tríceps na polia com corda
Tríceps Testa,https://www.youtube.com/watch?v=d_KZxkY_0cM,Braços,Tríceps,intermediate,Tríceps com barra deitado
Abdominal Supra,https://www.youtube.com/watch?v=Xyd_fa5zoEU,Abdômen,Reto Abdominal,beginner,Abdominal básico
Prancha,https://www.youtube.com/watch?v=ASdvN_XEl_c,Abdômen,Core,beginner,Isometria de core
